prompt_id,condition,alpha,n_tokens,dim,mean_token_cosine,perturbation_norm,relative_perturbation_norm,pairwise_distance_distortion,anisotropy_original,anisotropy_transformed,anisotropy_delta,variance_ratio,linear_cka,neighbor_preservation_k3,neighbor_preservation_k5,neighbor_preservation_k10
p000,chaos,0.01,11,64,0.9629235195615838,7.63682449227838,0.27882654434421034,0.007178185471082073,0.002999324720496639,0.06973890643749485,0.0667395817169982,1.0041374356255615,0.9991836008149411,0.9393939393939393,0.9454545454545454,1.0
p000,gaussian,0.01,11,64,0.963215228634386,7.63682449227838,0.27882654434421034,0.05255810116506414,0.002999324720496639,0.0038286577991726353,0.0008293330786759961,1.1061007788616104,0.993271834614911,0.6363636363636365,0.8727272727272729,1.0
p000,shuffled_chaos,0.01,11,64,0.9627261809685671,7.63682449227838,0.27882654434421034,0.008448816979391417,0.002999324720496639,0.07104883190127184,0.06804950718077521,1.0006665245721071,0.9991050874837827,0.9393939393939393,0.9272727272727274,1.0
p000,uniform,0.01,11,64,0.9644117462481586,7.63682449227838,0.27882654434421034,0.05136752604140248,0.002999324720496639,0.01730774341926937,0.01430841869877273,1.1089232245069767,0.9897945285737961,0.6969696969696969,0.8545454545454546,1.0
p000,chaos,0.05,11,64,0.5809166312436551,38.1841224613919,1.3941327217210517,0.06812161390320368,0.002999324720496639,0.6161498646378117,0.613150539917315,1.1248267476381246,0.9794067824650337,0.6666666666666666,0.7818181818181817,1.0
p000,gaussian,0.05,11,64,0.5757037112227906,38.1841224613919,1.3941327217210517,0.7391815273047637,0.002999324720496639,-0.017922335470471902,-0.02092166019096854,2.9237834068573565,0.9284774267638017,0.606060606060606,0.709090909090909,1.0
p000,shuffled_chaos,0.05,11,64,0.5811409939846301,38.1841224613919,1.3941327217210517,0.06853957219674577,0.002999324720496639,0.6144862757477924,0.6114869510272957,1.1355872403517648,0.9884543050303931,0.7575757575757577,0.890909090909091,1.0
p000,uniform,0.05,11,64,0.5609997018392631,38.1841224613919,1.3941327217210517,0.6992377480097527,0.002999324720496639,0.0007825357108669958,-0.0022167890096296433,2.859560660225645,0.9226788105259869,0.5454545454545454,0.6727272727272727,1.0
p000,chaos,0.1,11,64,0.3354530393170809,76.3682449227838,2.7882654434421035,0.2357185228473927,0.002999324720496639,0.8273032604429968,0.8243039357225002,1.5100024190520425,0.934521163954511,0.4848484848484848,0.5818181818181818,1.0
p000,gaussian,0.1,11,64,0.40167981920365425,76.3682449227838,2.7882654434421035,2.048556900158091,0.002999324720496639,0.007468410158822832,0.004469085438326192,9.205677238348938,0.8802279283937053,0.4242424242424242,0.45454545454545453,1.0
p000,shuffled_chaos,0.1,11,64,0.34197190692179674,76.3682449227838,2.7882654434421035,0.2681578002185727,0.002999324720496639,0.8202095697223062,0.8172102450018095,1.5711602377078606,0.9450726160320329,0.6060606060606061,0.7454545454545454,1.0
p000,uniform,0.1,11,64,0.3097779715360076,76.3682449227838,2.7882654434421035,1.9639561393786984,0.002999324720496639,-0.00493211537836745,-0.007931440098864088,8.578881031009498,0.8703776677694803,0.36363636363636365,0.5636363636363636,1.0
p001,chaos,0.01,12,64,0.9641994518630628,7.863797824972776,0.2801584869319077,0.013117358267026005,0.009597062632258962,0.08549911418798684,0.07590205155572788,1.020132385530392,0.9988368330814129,0.9444444444444443,0.9333333333333335,0.9916666666666667
p001,gaussian,0.01,12,64,0.9619590715579145,7.863797824972776,0.2801584869319077,0.033075347329582346,0.009597062632258962,0.00699724756012794,-0.0025998150721310218,1.046342115054204,0.9892612185668993,0.8333333333333334,0.9000000000000002,0.9666666666666667
p001,shuffled_chaos,0.01,12,64,0.9634790082457113,7.863797824972776,0.2801584869319077,0.010602525713167499,0.009597062632258962,0.08747354628864895,0.07787648365639,0.9971139668711771,0.998697756815828,0.9444444444444443,1.0,0.9916666666666667
p001,uniform,0.01,12,64,0.9636497951098973,7.863797824972776,0.2801584869319077,0.05517827910769687,0.009597062632258962,0.00412472114848531,-0.005472341483773653,1.0973577806423158,0.9896925539428068,0.8611111111111112,0.8333333333333334,0.975
p001,chaos,0.05,12,64,0.6090211141185389,39.31898912486388,1.4007924346595386,0.11479456501318733,0.009597062632258962,0.6065168456167884,0.5969197829845294,1.2242736497276847,0.9718760882327512,0.8055555555555555,0.75,0.9500000000000001
p001,gaussian,0.05,12,64,0.5852949228043611,39.31898912486388,1.4007924346595386,0.7266374282937564,0.009597062632258962,0.025166896929501602,0.01556983429724264,3.006193105369529,0.9094270564237646,0.3888888888888889,0.6499999999999999,0.9416666666666668
p001,shuffled_chaos,0.05,12,64,0.5914288558510301,39.31898912486388,1.4007924346595386,0.06861017517825721,0.009597062632258962,0.627370129187038,0.617773066554779,1.1317513404202841,0.9791854113314641,0.6666666666666666,0.8833333333333334,0.9500000000000001
p001,uniform,0.05,12,64,0.5951348102636131,39.31898912486388,1.4007924346595386,0.7597621742709743,0.009597062632258962,0.0009069414229745842,-0.008690121209284378,3.0539634350432503,0.8894355010774728,0.3888888888888889,0.5333333333333332,0.9333333333333335
p001,chaos,0.1,12,64,0.38026785543218183,78.63797824972777,2.8015848693190772,0.34000103023349465,0.009597062632258962,0.807455007907086,0.797857945274827,1.7575766046446795,0.9173038122351659,0.47222222222222227,0.5666666666666665,0.9166666666666669
p001,gaussian,0.1,12,64,0.3655589163044693,78.63797824972777,2.8015848693190772,2.018325885177517,0.009597062632258962,0.013152859222951825,0.0035557965906928626,9.049214003322378,0.8477177110654853,0.2777777777777778,0.5166666666666666,0.9
p001,shuffled_chaos,0.1,12,64,0.36592184735894434,78.63797824972777,2.8015848693190772,0.2927535708367867,0.009597062632258962,0.8185582124892662,0.8089611498570072,1.6618685763311005,0.9441142630566005,0.5,0.7833333333333332,0.9333333333333335
p001,uniform,0.1,12,64,0.3712382072746602,78.63797824972778,2.8015848693190777,2.0513637387343504,0.009597062632258962,0.0008522619910908295,-0.008744800641168133,9.094698146400372,0.8724505647068854,0.3333333333333333,0.46666666666666673,0.9
p002,chaos,0.01,10,64,0.9579139820163046,7.247353564288051,0.3009816058175653,0.01161821969866638,-0.010717727695453384,0.07738177838182571,0.0880995060772791,1.015449620213202,0.9990268428121195,0.9333333333333332,0.9199999999999999,1.0
p002,gaussian,0.01,10,64,0.9572703928427961,7.247353564288051,0.3009816058175653,0.05150438759049349,-0.010717727695453384,-0.0133796033395735,-0.002661875644120116,1.1014367312495417,0.9907241744526991,0.9333333333333332,0.8400000000000001,1.0
p002,shuffled_chaos,0.01,10,64,0.9577791806518985,7.24735356428805,0.3009816058175653,0.010048323733789248,-0.010717727695453384,0.07629282974614408,0.08701055744159747,1.016321755242945,0.9993116474795014,0.9666666666666666,1.0,1.0
p002,uniform,0.01,10,64,0.9563349702416799,7.247353564288052,0.30098160581756533,0.0434978165341801,-0.010717727695453384,-0.00017553323666159135,0.010542194458791792,1.0645958991551414,0.9821595956490426,0.7,0.9,1.0
p002,chaos,0.05,10,64,0.5689263517957321,36.23676782144026,1.5049080290878267,0.09344642488819387,-0.010717727695453384,0.6451044042444725,0.6558221319399259,1.2001113782183461,0.9780203003762147,0.7,0.82,1.0
p002,gaussian,0.05,10,64,0.5484869914253079,36.23676782144026,1.5049080290878267,0.8287035503491099,-0.010717727695453384,-0.03153343041659771,-0.020815702721144323,3.2294212076741506,0.9174340474893976,0.36666666666666664,0.6399999999999999,1.0
p002,shuffled_chaos,0.05,10,64,0.5632251594103239,36.23676782144025,1.5049080290878263,0.08664290427576361,-0.010717727695453384,0.6453892969594117,0.6561070246548651,1.164809144896995,0.9781492484501036,0.8,0.82,1.0
p002,uniform,0.05,10,64,0.5585006114991288,36.23676782144026,1.5049080290878267,0.826885449924312,-0.010717727695453384,-0.002036329369185583,0.0086813983262678,3.3429444086666953,0.9182388306048574,0.5666666666666667,0.72,1.0
p002,chaos,0.1,10,64,0.34042633072236184,72.47353564288052,3.0098160581756535,0.2970097581731868,-0.010717727695453384,0.8368447196128638,0.8475624473083172,1.7073809493175331,0.9343524915112469,0.6,0.6599999999999999,1.0
p002,gaussian,0.1,10,64,0.31029202492390145,72.47353564288052,3.0098160581756535,2.2223311207765017,-0.010717727695453384,-0.03641140505084291,-0.02569367735538952,9.991053855360851,0.9042591584928505,0.4666666666666666,0.6399999999999999,1.0
p002,shuffled_chaos,0.1,10,64,0.3287095448919655,72.47353564288052,3.0098160581756535,0.2867110541204385,-0.010717727695453384,0.838362040206709,0.8490797679021624,1.6088741545632204,0.938390104067505,0.6333333333333333,0.7,1.0
p002,uniform,0.1,10,64,0.33610431117680456,72.47353564288052,3.0098160581756535,2.1919882725689197,-0.010717727695453384,0.007255358697985645,0.01797308639343903,10.215025654480815,0.8759679614951068,0.36666666666666664,0.52,1.0
p003,chaos,0.01,9,64,0.9604261158158002,6.899444712118786,0.2900346280576845,0.010802172852830118,-0.00292159217150826,0.06594014344612027,0.06886173561762854,1.011745110966324,0.9991772247283938,0.9629629629629629,0.9555555555555555,1.0
